            1            1
2.202            1
2.203            1
2.205            1
2.206            1
2.211            1
2.212            1
2.214            1
2.215            1
2.229            1
2.230            1
2.232            1
2.233            1
2.238            1
2.239            1
2.241            1
2.242            1
            3            1
4.202            1
4.203            1
4.205            1
4.206            1
4.211            1
4.212            1
4.214            1
4.215            1
4.229            1
4.230            1
4.232            1
4.233            1
4.238            1
4.239            1
4.241            1
4.242            1
            5            1
